Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
The Adventures of Ford Fairlane,Mystery,"Ford Fairlane is seen sitting on a beach smoking as the film opens. A flashback initiates, showing a roaring crowd at a concert at Red Rocks Amphitheatre in Morrison, Colorado, given by fictional popular heavy metal band The Black Plague. Lead singer Bobby Black makes an eccentric entrance down a zip-line from Creation Rock onto the stage and begins performing. Shortly into one of the band's songs, Bobby Black starts gagging and collapses dead on stage.
After the lead singer of The Black Plague is murdered onstage, shock-jock Johnny Crunch, an old friend who came west with Fairlane, hires Ford to track down a mysterious teenage groupie named Zuzu Petals, who may have a connection to Black's death.
Soon after hiring Fairlane, Crunch is electrocuted on the air. The world's hippest detective soon finds himself trading insults with ruthless record executive Julian Grendel, a clueless cop and former disco star, Lt. Amos, a merciless hit man named Smiley and countless ex-girlfriends out for his blood. Aiding and abetting Fairlane is loyal assistant Jazz and a hip record producer at the head of a bizarre lineup of suspects, victims, beautiful women, and a koala as he finds himself hip-deep in the case of his life.
The MacGuffin of the film is three data CDs which, when read simultaneously, detail the illegal dealings of Julian Grendel, who was getting rich from bootlegging his record company's music and murdered Bobby Black when he found out Black had acquired the CDs with the incriminating evidence. Both of Fairlane's beloved possessions, his house and his car, are blown to bits, courtesy of Grendel.
The first disc was with Colleen Sutton, the second with Zuzu Petals, and the third disc was hidden under the star for Art Mooney on the Hollywood Walk of Fame.
It is later revealed that Grendel killed Bobby Black and Johnny Crunch, as he considered them both greedy and stupid because they wanted more money for their involvement in pirating CDs to sell to the highest bidder, making Grendel Records and the rest of the music industry corrupt. However, Fairlane kills Grendel by setting him on fire with a flammable alcoholic milkshake and a cigarette. Jazz leaves Fairlane, knowing how ungrateful he is for everything that has happened. Smiley shows up and plans to kill Ford, but not before revealing that he killed his young neighbor's [the Kid's] father. Ford distracts him and kills Smiley with a sleeve pistol. Jazz and Ford decide to reconcile, while the Kid decides to join their detective agency. Ford wins a million-dollar radio contest and buys a yacht. He sails away with Jazz, the Kid and the koala (now in a neck brace). They're all now one big happy family.",Renny Harlin,,David Arnott/ James Cappe,Steve Perry/ Joel Silver,Andrew Dice Clay/ Wayne Newton/ Priscilla Presley/ Morris Day/ Gilbert Gottfried/ Lauren Holly/ Maddie Corman/ Tone Loc/ Robert Englund/ Ed O'Neill,Oliver Wood,Michael Tronick,Yello,,20th Century Fox,"July 11, 1990",102 minutes,$20 million,$21.4 million
An Affair of Three Nations,Mystery,"Arnold Daly plays the part of Ashton Kirk, a wealthy and scholarly young man who solves mysteries that have the police puzzled. Kirk is asked by Stella Morse, (Louise Rutter), to find out who is threatening her uncle, Dr. Morse (Sheldon Lewis). Morse has a
copy of a secret treaty between Russia and the United States that was made during the Russo-Japanese War. Following the murder of the Doctor, Kirk takes on the case to help solve it. The Japanese spy system has been trying to get hold of the treaty, which could ruin relations between its country and America. Kirk manages to get the treaty himself and prevents a war from breaking out.",Arnold Daly/ Ashley Miller,,,,Arnold Daly/ Sheldon Lewis/ William Harrigan,,,,,"Pathé Exchange, Inc.","October 22, 1915",5 reels,,
The Airmail Mystery,Mystery,"Airmail pilot Bob Lee (James Flavin), owner of a gold mine, faces off against ""The Black Hawk"" (Wheeler Oakman) who has kidnapped Jimmy Ross (Al Wilson), Bob's best friend. The Black Hawk carries out a series of attacks on Bob's ore shipments by air, using an unusual catapult device that launches aircraft into the sky to intercept Bob's aircraft. With his sweetheart, Mary Ross (Lucile Browne), Bob constantly battles against his enemy, and eventually is able to defeat him.",Ray Taylor,Ella O'Neill (story)/ Basil Dickey/ George H. Plympton/ George Morgan,,Henry MacRae,James Flavin/ Al Wilson/ Walter Brennan/ Wheeler Oakman,,,David Broekman,,Universal Pictures,"March 28, 1932",12 chapters (225 min.),,
Alias Mary Smith,Mystery,"A young woman known by her alias Mary Smith, falls in love with a wealthy young man despite his father's disapproval. Unbeknown to them she is the sister of a man executed after being framed by gangster Snowy Hoagland for a crime he didn't commit. Seeking revenge on him, she becomes entangled in the murder of a district attorney.",E. Mason Hopper,Edward T. Lowe Jr.,,Ralph M. Like,Blanche Mehaffey / John Darrow / Raymond Hatton,Jules Cronjager,Byron Robinson,,,Mayfair Pictures / British Lion (UK),"July 15, 1932",61 minutes,,
"Alice, Sweet Alice",Mystery,"In 1961, in Paterson, New Jersey, divorced mother Catherine Spages visits Father Tom with her two daughters, nine-year-old Karen and twelve-year-old Alice, who both attend St. Michael's Parish Girls' School. Karen is preparing for her First Communion, and Father Tom gives her his mother's crucifix as a gift. A jealous Alice puts on a translucent mask, frightening Father Tom's housekeeper, Mrs. Tredoni. Alice steals Karen's porcelain doll, scares her, and threatens her if she tells anyone.
On the day of her First Communion, Karen is strangled to death in the church transept by a person wearing a translucent mask and a yellow raincoat, with her crucifix ripped from her neck. A nun locates Karen's body, disrupting the communion ceremony.
After Karen's funeral, Catherine's ex-husband Dominick begins independently investigating her murder, while Detective Spina formally handles the case. Catherine's sister Annie moves in to help her, though Alice and Annie despise each other. Catherine sends Alice to deliver a rent check to their landlord, the morbidly obese Mr. Alphonso, and he attempts to molest her. Annie is attacked by a masked figure. At the hospital, she claims that Alice tried to kill her. Alice is sent to a psychiatric institution for evaluation.
Dominick receives a hysterical phone call from someone claiming to be Annie's daughter Angela, saying that she has Karen's crucifix. Dominick agrees to meet her at an abandoned building. There, the figure stabs him before binding him with rope. Dominick sees that the killer is in fact Mrs. Tredoni, who chastises Dominick and Catherine as sinners over their premarital sex and divorce. After Dominick bites Karen's crucifix off her neck, Mrs. Tredoni pushes him out a window to his death.
Catherine goes to visit Father Tom. He is not home but Mrs. Tredoni invites her in. She explains that when her own daughter died on the day of her First Communion, she realized children are punished for the sins of their parents. In her grief and madness, she devotes herself to the church. Father Tom arrives and tells Catherine that Dom has died. During Dominick's autopsy, the pathologist finds Karen's crucifix in his mouth, and Alice is eliminated as a suspect. Father Tom and Catherine go get Alice from the institution.
Mrs. Tredoni sneaks into Catherine's apartment building. Mr. Alphonso wakes up screaming, as Alice had mischievously placed a jar of cockroaches on him while he slept. Mr. Alphonso encounters Mrs. Tredoni in the staircase and mistakes her for Alice. When he shoves her against a wall, she stabs him to death and flees. Detective Spina witnesses her running out without a mask on.
Mrs. Tredoni rushes to the church, where the police are stationed. Spina arrives too late to save Mr. Alphonso. At the mass, Father Tom denies Mrs. Tredoni communion. She stabs the priest in the throat as the police rush in. While Father Tom bleeds to death, Alice walks out of the church with Mrs. Tredoni's shopping bag, and places the bloodstained butcher knife into it.",Alfred Sole,,,Richard K. Rosenberg/ Alfred Sole,Linda Miller/ Mildred Clinton/ Paula Sheppard/ Niles McMaster/ Brooke Shields,John Friberg/ Chuck Hall,Edward Salier,Stephen J. Lawrence,,Allied Artists,"November 15, 1976",108 minutes,"$350,000",
"Aloha, Scooby-Doo!",Mystery,"The gang travels to Hawaii on a free trip from a surf-and-beachwear company called ""Goha Aloha"" thanks to Daphne, whom the company wants to design some new swimwear for them. The gang also goes there to see the Big Kahuna of Hanahuna Surfing Contest. However, the contest used to only be open for the natives and not for mainlanders, but now the mayor has made it open for every person. Many locals are angry because of this, especially Manu Tuiama, a local surfer, and his friend, Little Jim. Just a few days before the contest, the demons of the evil Wiki-Tiki spirit attacked the village and kidnapped Manu's girlfriend, Snookie. This drives away most of the tourists and surfers, and the locals believe the spirit is angry that the surfing contest is open to anybody, and also that a new resort, Coconut Beach Condominiums, is being built on supposedly sacred ground by a local real estate agent Ruben Laluna. When the gang meets Jared Moon, a representative from the Goha Aloha-company in Hanahuna, he's selling tiki charms that are supposed to ward off evil demons. The mayor refuses to postpone the contest, even after the Tiki demons attack again at a feast.
The gang wants to get to the bottom of the mystery, and go to Auntie Mahina, a local shaman who lives deep in the jungle. On the way there, Manu seemingly gets kidnapped by the Wiki-Tiki. Auntie Mahina tells them the Wiki-Tiki is angry at the mainlanders; the surfing contest is hinted by her to be a Hawaiian ritual and that the winner has to be of Hawaiian descent. She says they need to go to the cave where the monster lives to get rid of it, or Snookie and Manu will be sacrificed in the volcano. She also gives Fred a necklace which should keep the monster away. The necklace is filled with an extract from a sacred root called bola gawana, which she claims that the ancients used to repel away evil spirits. The gang goes to the cave, and get chased by bats and the little demons, until they lose them and find Snookie, who tries to lead them out before getting recaptured by the Wiki-Tiki, who is seemingly unaffected by anything the gang or the necklace throws at the monster.
The gang then find themselves in a snake pit cave, but are able to get out of it because of music by Shaggy and Scooby-Doo. After escaping, the gang does some searching and stumbles upon a cave within the volcano, during which they discover that the volcano is in fact still dormant and that the Wiki-Tiki and its demons are not really ancient spirits. The little demons turn out to just be remote-controlled robots. After looking at a picture of the Wiki-Tiki when it was out surfing, the gang notices that the (supposedly) 10,000-year-old spirit 
its using a Goha Aloha-brand surfboard.
Back at the island, it is only one day until the contest, and the locals are really scared something bad will happen. Little Jim blames the mayor for Snookie and Manu's disappearances, and says that whatever happens during the contest will be her fault as well.
The following day, Daphne enters the contest in hopes of drawing out the Wiki-Tiki, whom they are sure will show up. Sure enough, it comes and scares the surfers and chases Shaggy and Scooby, until it was washed up by a wave. The gang unmasks the Wiki-Tiki as Manu and after Snookie runs over to him, it turns out that the couple were the culprits behind the Wiki-Tiki scheme. The gang explains that Manu and Snookie wanted to scare off both the locals and the tourists so they could buy up all the real estate in the area and then sell it back to the original owners at a huge profit—and all the places bought by Manu and Snookie were put under the name of ""Pamela Waeawa,"" which is Snookie's real name. Velma also reveals that Snookie's an expert in both rocket science and robotics, and was the one who created the so-called ""demons."" The mayor ultimately announces Scooby as the winner of the surfing contest (for the way he and Shaggy were surfing while battling Manu), making him the new ""Big Kahuna of Hanahuna."" Manu expresses shock and anger at losing to a dog as he and Snookie are arrested and taken to jail.
Later that night, a big luau is held in celebration of the gang's help at the hotel that the gang was staying at. Everyone thanks the gang for solving mystery and Ruben Laluna reveals that all the real estate bought by Manu and Snookie will be returned to the original owners. Jared Moon comes by to tell Daphne that Goha Aloha loved her swimsuit designs and wants to buy them (and he gives her a free tiki charm). After Auntie Mahina thanks the gang for what they did, the mini-tikis come to the party and advance—but instead of attacking people, they start dancing. It's revealed that Scooby has the remote control for them and he's the one making them dance. Everyone laughs while Scooby says his catchphrase before saying ""Aloha!"".",Tim Maltby,Temple Mathews,,Margaret M. Dean/ Tim Maltby,Frank Welker/ Casey Kasem/ Mindy Cohn/ Grey DeLisle/ Mario Lopez/ Ray Bumatai/ Teri Garr/ Adam West/ Tom Kenny/ Dee Bradley Baker/ Tia Carrere,,Julie Ann Lau,Thomas Chase Jones,,Warner Home Video,"February 8, 2005",74 minutes,,
The Amazing Mr. Williams,Mystery,"Maxine Carroll (Joan Blondell), secretary to the mayor waits impatiently for Kenny Williams (Melvyn Douglas), who gets called away by the Captain McGovern (Clarence Kolb) on police business not long after he arrives, but Maxine has enough time to try to talk him into leaving the police force to start a family. Kenny joins detective Deever (Don Beddoe) and Lieutenant Bixler (Donald MacBride) in the investigation of the murder of a circus performer, which Kenny solves with the arrest of a jealous knife thrower.
Kenny has another date with Maxine, but this time the Captain wants him to pick up Texas Buck Moseby (Edward Brophy) at the jail and take him to the penitentiary on the train. Instead of heading straight to the train however, Kenny passes Moseby off as his college friend so he can keep his date with Maxine. Moseby is introduced to Effie (Ruth Donnelly) and the four go to the beach casino, then dancing later. Maxine suspects something is not right and calls the Captain who tells her Kenny's on the train with Texas Buck Moseby, she relates to him that they are both with her, which the Captain doesn't believe. Bixler then tells the Captain that the prison warden has called and said Kenny and Moseby haven't arrived yet. The Captain, who is still on the phone with Maxine, asks her to try to keep them there as long as possible. When the cops do arrive, Moseby tries to make a run for it but Kenny is too quick for him and puts handcuffs on him. Effie faints when the Captain announces that Buck Moseby is a notorious convict and killer.
Because of the incident with Moseby, Kenny is suspended for 60 days without pay by the police commissioner at the citizens committee the following day. The Phantom Slugger who has been fatally attacking random women on the street has still not been caught and the citizens committee is in an uproar about it. Captain McGovern suggests a male policeman wear women's clothes as a decoy to try to catch the criminal. Maxine writes a note suggesting they use Kenny and hands it to the mayor, the police commissioner is willing to reinstate Kenny if he will agree to go undercover, which he does. After 48 hours Maxine is worried that neither she, nor anyone at the police force has heard from Kenny, when they find out he's been spotted at ""the corner 6th and Main"". Maxine goes to there to find him, but as soon as she sees Kenny the Phantom Slugger attacks her and knocks her out. Kenny struggles with the criminal, still in women's clothes, and then arrests him.
Kenny visits Maxine in the hospital who is pretending to be sicker than she is, she convinces him to turn in his resignation. The next day it is discovered that the night watchman at the First National Bank has been killed in a burglary worth $25,000. The Captain finds Kenny's resignation but needs Kenny to investigate the burglary so Bixler pretends to have resigned as well to make him interested in the investigation. Meanwhile, Maxine and Effie are planning a wedding for noon at the Mayor's office, but Kenny is late as usual. The Captain arrives and boasts that Kenny has nabbed the bank burglary criminal who is named Stanley (John Wray) and Maxine calls off the wedding. Kenny arrives but it is too late.
Stanley still insists he was forced to take part in the bank robbery by another man. Kenny discovers new evidence that might clear Stanley but he's supposed to deliver him to the prison via the train. Meanwhile, the Captain and the detectives are trying to arrest Kenny for taking Stanley off the train. Kenny enlists Maxine's help in finding the person who purchased the liquor bottle found in Stanley's car, which leads them to the racetrack to arrest the real killer.",Alexander Hall,Dwight Taylor/ Sy Bartlett/ Richard Maibaum,Sy Bartlett,Everett Riskin,Melvyn Douglas/ Joan Blondell / Ruth Donnelly,Arthur L. Todd,Viola Lawrence,Morris Stoloff,,Columbia Pictures,"November 22, 1939",80 minutes,,
The American Side,Mystery,"After a death at Niagara Falls, a seedy Buffalo private detective unravels a secret plot to build a powerful device conceived by inventor Nikola Tesla.",Jenna Ricker,Greg Stuhr/ Jenna Ricker,,,Greg Stuhr/ Camilla Belle/ Alicja Bachleda-Curuś/ Matthew Broderick/ Janeane Garofalo/ Robert Forster/ Robert Vaughn,,,David Shire,,,"April 28, 2016/ (United States)",,,
An American Tail: The Mystery of the Night Monster,Mystery,"After the events of the third film, but before the second, Fievel, his sister Tanya, and his friend Tony get jobs at the local newspaper. The Mousekewitz children and Tony meet Nellie Brie, who wants to be an important reporter, but only gets small assignments, as if she were a secretary to Reed Daley, the newspaper's editor.
Nellie gets a chance when she is assigned to report on mice who disappear overnight into holes that open up on their floor all over New York City. Reed makes up a, as Nellie calls it, ""so-called monster"" that lives under Manhattan and takes mice away during the night to add more excitement to the otherwise unimportant story, intending to sell more papers. The night monster creates fears among the readers, as could be expected. Fievel begins having nightmares that cause him to lose sleep because of his fear of the monster; the film opens up with Fievel having a dream about being chased by what he thinks the monster looks like (a fiery demonic cat with a mouse trap on its tongue). When, through Tanya, he is assigned the job of following Nellie and drawing up interpretations of what the monster looks like based on witness testimony, this makes his insomnia all the worse. A particularly suspicious miniature French poodle named Madame Mousey, who has started living among the mice about this time, appears at every crime scene, claiming to be a fortune teller. The heroes finally decide to investigate her by means of the ""dog council"" that meets at Central Park. They also search down one of the holes, which leads directly to a group of cats known as the infamous Outlaw Cats hiding in the sewers. All the mice that had disappeared are being held in wood cages there, to be sold off to other cats and eaten.
The night monster itself, a mechanic device with ghastly flashing pictures and a circular saw, is revealed in full when it attacks the mice newspaper office and printing press to prevent them from printing the truth, which they had just discovered. A great chase scene takes place throughout both the mouse and the human newspaper offices. Reed finally wins Nellie‘s heart and ended up in a relationship. When all the cats seem to be under control, the ""dog council"" appears just as they are regaining consciousness and chase them all away, taking Madame Mousey with them. As the film ends, the last scene takes place at the beach, where Tony informed the Mousekewitz family that the ""dog council"" had chosen for the French poodle (who was the mastermind behind the night monster all along) a punishment worse than prison: returning her to her owner, Mrs. Abernathy. Mama Mousekewitz surmises saying that now that the mystery has been cleared up, Fievel finally goes to sleep, only to turn around and find him with Yasha his sister already asleep on the beach towel, to which Papa smiles and says, ""You were saying?"" The Mousekewitz family, including Tony and Tiger, share a group hug as Mama says, ""Sweet dreams, my little Fievel. Sweet dreams.""",Larry Latham,,,Larry Latham,Thomas Dekker/ Robert Hays/ Susan Boyd/ Candi Milo/ Lacey Chabert/ John Mariano/ Dom DeLuise/ Pat Musick/ Nehemiah Persoff/ Jane Singer,,Jay Bixson,Michael Tavera/ James Horner (archive music)/ Amanda McBroom/ Michele Brourman/ Stephan Oberhoff,,Universal Studios Home Video,,78 minutes,,
Amityville: A New Generation,Mystery,"Before the DeFeos moved into 112 Ocean Avenue in Amityville, the Bronners occupied the house. In 1966, the Bronner family's eldest son, Franklin, killed his parents and two siblings during Thanksgiving dinner. Bronner, who had a long history of mental illness, claimed to have committed the familicide at the behest of otherworldly forces within the house and was committed to Danamore State Hospital. Years later, his wife and their young son, Keyes Terry, visited Bronner. Despite being sedated, Bronner killed his wife in front of Keyes. Keyes repressed the memory of visiting Danamore and never received any notification about his father being discharged from it in 1986.
In 1993, Keyes, now a photographer, lives in an inner-city boarding house with his girlfriend, Llanie. Dick Cutler owns the boarding house, and its other tenants include a painter named Suki and a sculptor named Pauli. Bronner tracks down Keyes and gives him a mirror that he took from the house in Amityville. The mirror is demonic, and it kills Suki and her ex-boyfriend, Raymond. After Bronner is found dead, Keyes begins looking into his past and realizes that Bronner was his father after visiting Danamore.
The demon in the mirror assumes Suki's form to kill Dick and afterward begins tormenting Keyes by turning into Bronner. Keyes gets sucked into the mirror, which brings him to a Hellish version of Danamore, where he encounters undead versions of Raymond, Suki, Dick, and Bronner. The demon then returns Keyes to the real world and makes it clear that it wants Keyes to reenact the massacre of the Bronner family by shooting Llanie, Pauli, and Dick's wife at the boarding house's Thanksgiving art show. Keyes resists the demon's influence and breaks the mirror, prompting the assigned Detective Clark to sardonically quip, ""Seven years bad luck.""",John Murlowski,Christopher DeFaria/ Antonio M. Toro,,Barry Bernardi/ Steve White/ Christopher DeFaria,Ross Partridge/ Julia Nickson-Soul/ Lala Sloatman/ David Naughton,Wally Pfister,Rick Finney,Daniel Licht,,Republic Pictures,"September 29, 1993",91 mins.,$1.5 million (estimated),
